party,political_position,ideology,wikipedia_url,party_display_name
GERB,Centre-right,Conservatism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/GERB,GERB
Bulgarian Socialist Party,Centre-left,Social democracy Democratic socialism Social market economy Social conservatism Left-wing populism,https://en.wikipedia.org/wiki/Bulgarian_Socialist_Party,Bulgarian Socialist Party
Movement for Rights and Freedoms,,Liberalism,https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedoms,Movement for Rights and Freedoms
United Patriots,Right-wing to far-right,Bulgarian nationalism National conservatism Social conservatism Right-wing populism Protectionism Soft Euroscepticism Anti-communism,https://en.wikipedia.org/wiki/United_Patriots,United Patriots
Reformist Bloc,Centre-right,Christian democracy Liberal conservatism Conservative liberalism Conservatism,https://en.wikipedia.org/wiki/Reformist_Bloc,Reformist Bloc
Volya Movement,Right-wing,Bulgarian nationalism Right-wing populism Anti-corruption Anti-establishment Euroscepticism,https://en.wikipedia.org/wiki/Volya_Movement,Volya Movement
"Yes, Bulgaria!",Centre to centre-right,Liberalism Anti-corruption Pro-Europeanism,"https://en.wikipedia.org/wiki/Yes,_Bulgaria!","Yes, Bulgaria!"
Alternative for Bulgarian Revival,Centre-left,Social democracy Social conservatism,https://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival,Alternative for Bulgarian Revival
None of the above,,,,
Democratic Bulgaria,Centre-right,Liberal conservatism Conservative liberalism Liberalism Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Bulgaria,Democratic Bulgaria
There is Such a People,Right-wing,Populism Social conservatism Bulgarian nationalism,https://en.wikipedia.org/wiki/There_is_Such_a_People,There is Such a People
Stand Up.BG! We are coming!,Centre to left-wing,Anti-corruption Pro-Europeanism Factions Social democracy Social liberalism Liberal conservatism,https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!,Stand Up.BG! We are coming!
BSP - United Left,Centre-left,Social democracy Democratic socialism Left-wing populism Left-conservatism,https://en.wikipedia.org/wiki/BSP_%E2%80%93_United_Left,BSP - United Left
VMRO - Bulgarian National Movement,Far-right,National conservatism Bulgarian nationalism Social conservatism Right-wing populism Soft Euroscepticism Anti-Islam Antiziganism,https://en.wikipedia.org/wiki/VMRO_%E2%80%93_Bulgarian_National_Movement,VMRO - Bulgarian National Movement
Revival,Far-right,Ultranationalism National conservatism Right-wing populism,https://en.wikipedia.org/wiki/Revival_(Bulgarian_political_party),Revival
Bulgarian Summer,Centre,Direct democracy Populism Soft Euroscepticism,https://en.wikipedia.org/wiki/Bulgarian_Summer,Bulgarian Summer
Bulgarian Patriots,Right-wing to far-right,National conservatism Social conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/Bulgarian_Patriots,Bulgarian Patriots
Republicans for Bulgaria,Centre-right,Conservatism Economic liberalism Populism E-democracy Pro-Europeanism Atlanticism,https://en.wikipedia.org/wiki/Republicans_for_Bulgaria,Republicans for Bulgaria
Left Union for a Clean and Holy Republic,Left-wing to Far-left,Left-wing nationalism Socialism Factions: Communism Marxism–Leninism National conservatism,https://en.wikipedia.org/wiki/Left_Union_for_a_Clean_and_Holy_Republic,Left Union for a Clean and Holy Republic
To be announced,,,,
List of political parties in Bulgaria,,,,
#cite note-36,,,,
We Continue the Change,Centre,Liberalism,https://en.wikipedia.org/wiki/We_Continue_the_Change,We Continue the Change
#cite note-38,,,,
Rumen Radev,,,,
Anastas Gerdzhikov,,,,
Mustafa Karadayi,,,,
Lozan Panov,,,,
Kostadin Kostadinov,,,,
Valeri Simeonov,,,,
Volen Siderov,,,,
/w/index.php?title=Milen Mihov&action=edit&redlink=1,,,,
/w/index.php?title=Luna Yordanova&action=edit&redlink=1,,,,
Veselin Mareshki,,,,
File:Rumen Radev official portrait .jpg,,,,
File:Anastas Gerdzhikov .jpg,,,,
Stand Up.BG,Centre-left to left-wing [ citation needed ],Social liberalism Social democracy Anti-corruption Left-wing populism Direct democracy E-democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Stand_Up.BG,Stand Up.BG
Bulgarian Rise,Right-wing,National conservatism Bulgarian nationalism Conservatism Souverainism,https://en.wikipedia.org/wiki/Bulgarian_Rise,Bulgarian Rise
GERB-SDS,Centre-right to right-wing,Conservatism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/GERB%E2%80%93SDS,GERB-SDS
National Movement for Stability and Progress,Centre to centre-right,Populism Liberalism Conservative liberalism,https://en.wikipedia.org/wiki/National_Movement_for_Stability_and_Progress,National Movement for Stability and Progress
We Continue the Change - Democratic Bulgaria,Centre-right,Liberalism Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/PP%E2%80%93DB,We Continue the Change - Democratic Bulgaria
The Left,Centre-left to left-wing,Social democracy Anti-corruption,https://en.wikipedia.org/wiki/The_Left_(Bulgaria),The Left
Solidary Bulgaria,Centre-left to left-wing,,https://en.wikipedia.org/wiki/Solidary_Bulgaria,Solidary Bulgaria
Blue Bulgaria,Centre-right to right-wing,National liberalism Conservatism Anti-communism Pro-Europeanism,https://en.wikipedia.org/wiki/Blue_Bulgaria,Blue Bulgaria
Velichie,Far-right,Bulgarian nationalism Populism,https://en.wikipedia.org/wiki/Velichie,Velichie
"Morality, Unity, Honour",Far-right,Bulgarian nationalism Populism Social conservatism Euroscepticism,"https://en.wikipedia.org/wiki/Morality,_Unity,_Honour","Morality, Unity, Honour"
Alliance for Rights and Freedoms,Centre,Liberalism Turkish minority interests,https://en.wikipedia.org/wiki/Alliance_for_Rights_and_Freedoms,Alliance for Rights and Freedoms
DPS - New Beginning,Centre,Liberalism Turkish minority interests,https://en.wikipedia.org/wiki/DPS_%E2%80%93_New_Beginning,DPS - New Beginning
