party,political_position,ideology,wikipedia_url
GERB,Centre-right,Conservatism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/GERB
Bulgarian Socialist Party,Centre-left,Social democracy Democratic socialism Social market economy Social conservatism Left-wing populism,https://en.wikipedia.org/wiki/Bulgarian_Socialist_Party
Movement for Rights and Freedoms,,Liberalism,https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedoms
United Patriots,Right-wing to far-right,Bulgarian nationalism National conservatism Social conservatism Right-wing populism Protectionism Soft Euroscepticism Anti-communism,https://en.wikipedia.org/wiki/United_Patriots
Reformist Bloc,Centre-right,Christian democracy Liberal conservatism Conservative liberalism Conservatism,https://en.wikipedia.org/wiki/Reformist_Bloc
Volya Movement,Right-wing,Bulgarian nationalism Right-wing populism Anti-corruption Anti-establishment Euroscepticism,https://en.wikipedia.org/wiki/Volya_Movement
"Yes, Bulgaria!",Centre to centre-right,Liberalism Anti-corruption Pro-Europeanism,"https://en.wikipedia.org/wiki/Yes,_Bulgaria!"
Alternative for Bulgarian Revival,Centre-left,Social democracy Social conservatism,https://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival
None of the above,,,
Democratic Bulgaria,Centre-right,Liberal conservatism Conservative liberalism Liberalism Anti-corruption Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Bulgaria
There Is Such A People,Right-wing,Populism Social conservatism Bulgarian nationalism,https://en.wikipedia.org/wiki/There_Is_Such_A_People
"Stand Up! Mafia, Get Out!",Centre to left-wing,Anti-corruption Pro-Europeanism Factions Social democracy Social liberalism Liberal conservatism,"https://en.wikipedia.org/wiki/Stand_Up!_Mafia,_Get_Out!"
There is Such a People,Right-wing,Populism Social conservatism Bulgarian nationalism,https://en.wikipedia.org/wiki/There_is_Such_a_People
BSP for Bulgaria,Centre-left,Social democracy Democratic socialism Left-wing populism Social conservatism,https://en.wikipedia.org/wiki/BSP_for_Bulgaria
VMRO – Bulgarian National Movement,Far-right,National conservatism Bulgarian nationalism Social conservatism Right-wing populism Soft Euroscepticism Anti-Islam Antiziganism,https://en.wikipedia.org/wiki/VMRO_%E2%80%93_Bulgarian_National_Movement
Revival,Far-right,Ultranationalism National conservatism Right-wing populism,https://en.wikipedia.org/wiki/Revival_(Bulgarian_political_party)
Bulgarian Summer,Centre,Direct democracy Populism Soft Euroscepticism,https://en.wikipedia.org/wiki/Bulgarian_Summer
Bulgarian Patriots,Right-wing to far-right,National conservatism Social conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/Bulgarian_Patriots
Republicans for Bulgaria,Centre-right,Conservatism Economic liberalism Populism E-democracy Pro-Europeanism Atlanticism,https://en.wikipedia.org/wiki/Republicans_for_Bulgaria
Left Union for a Clean and Holy Republic,Left-wing to Far-left,Left-wing nationalism Socialism Factions: Communism Marxism–Leninism National conservatism,https://en.wikipedia.org/wiki/Left_Union_for_a_Clean_and_Holy_Republic
To be announced,,,
Stand Up.BG! We are coming!,Centre to left-wing,Anti-corruption Pro-Europeanism Factions Social democracy Social liberalism Liberal conservatism,https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!
List of political parties in Bulgaria,,,
#cite note-36,,,
We Continue the Change,Centre,Liberalism,https://en.wikipedia.org/wiki/We_Continue_the_Change
#cite note-38,,,
Rumen Radev,,,
Anastas Gerdzhikov,,,
Mustafa Karadayi,,,
Lozan Panov,,,
Kostadin Kostadinov,,,
Valeri Simeonov,,,
Volen Siderov,,,
/w/index.php?title=Milen Mihov&action=edit&redlink=1,,,
/w/index.php?title=Luna Yordanova&action=edit&redlink=1,,,
Veselin Mareshki,,,
File:Rumen Radev official portrait .jpg,,,
File:Anastas Gerdzhikov .jpg,,,
Stand Up.BG,Centre-left to left-wing [ citation needed ],Social liberalism Social democracy Anti-corruption Left-wing populism Direct democracy E-democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Stand_Up.BG
Bulgarian Rise,Right-wing,National conservatism Bulgarian nationalism Conservatism Souverainism,https://en.wikipedia.org/wiki/Bulgarian_Rise
GERB-SDS,Centre-right to right-wing,Conservatism Populism Pro-Europeanism,https://en.wikipedia.org/wiki/GERB%E2%80%94SDS
