party,political_position,ideology,wikipedia_url
Estonian Reform Party,Centre-right,Liberalism ( Estonian ) Conservative liberalism,https://en.wikipedia.org/wiki/Estonian_Reform_Party
Estonian Centre Party,Centre,Populism Conservatism,https://en.wikipedia.org/wiki/Estonian_Centre_Party
Isamaa,Centre-right to right-wing,Christian democracy National conservatism Economic liberalism,https://en.wikipedia.org/wiki/Isamaa
Social Democratic Party,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Social_Democratic_Party_(Estonia)
Estonian Greens,Centre-left,Green politics Social liberalism,https://en.wikipedia.org/wiki/Estonian_Greens
Conservative People's Party of Estonia,Far-right,Ultranationalism Estonian nationalism National conservatism Right-wing populism,https://en.wikipedia.org/wiki/Conservative_People%27s_Party_of_Estonia
Estonian Free Party,Centre-right,Conservatism Conservative liberalism Populism,https://en.wikipedia.org/wiki/Estonian_Free_Party
Estonia 200,Centre,Liberalism ( Estonian ) Social liberalism Pro-Europeanism,https://en.wikipedia.org/wiki/Estonia_200
Jüri Ratas' cabinet,,,
Pro Patria,Centre-right to right-wing,Christian democracy National conservatism Economic liberalism,https://en.wikipedia.org/wiki/Pro_Patria_(Estonian_political_party)
Taavi Rõivas' second cabinet,,,
Parempoolsed,Centre-right to right-wing,Economic liberalism Right-libertarianism Pro-Europeanism,https://en.wikipedia.org/wiki/Parempoolsed
Estonian Party for the Future,Centre to centre-right,Agrarianism Green politics,https://en.wikipedia.org/wiki/Estonian_Party_of_the_Future
Left Alliance of Estonia,Left-wing,Since 2023: Democratic socialism Progressivism 2008–2023: Russian minority politics Eurocommunism (self-proclaimed),https://en.wikipedia.org/wiki/Left_Alliance_(Estonia)
Together,,Social conservatism Russian minority politics Russophilia Non-interventionism,https://en.wikipedia.org/wiki/Together_(Estonian_political_party)
Estonian Nationalists and Conservatives,,Estonian nationalism Factions: Ethnofuturism,https://en.wikipedia.org/wiki/Estonian_Nationalists_and_Conservatives
Estonian United Left Party,Left-wing,Since 2023: Democratic socialism Progressivism 2008–2023: Russian minority politics Eurocommunism (self-proclaimed),https://en.wikipedia.org/wiki/Estonian_United_Left_Party
