party,political_position,ideology,wikipedia_url
VMRO-DPMNE,Centre-right to right-wing,Conservatism Christian democracy Macedonian nationalism Economic liberalism Anti-communism,https://en.wikipedia.org/wiki/VMRO-DPMNE
Social Democratic Union of Macedonia,Centre-left,Social democracy Pro-Europeanism,https://en.wikipedia.org/wiki/Social_Democratic_Union_of_Macedonia
Besa Movement,Centre-right,Albanian minority interests Social conservatism [ citation needed ],https://en.wikipedia.org/wiki/Besa_Movement
Democratic Union for Integration,Centre-left,Albanian minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/Democratic_Union_for_Integration
Alliance for Albanians,Centre-right,Albanian minority rights Conservatism Social conservatism Decentralisation Pro-Europeanism,https://en.wikipedia.org/wiki/Alliance_for_Albanians
Democratic Party of Albanians,Centre-right to right-wing,Albanian minority interests Conservatism,https://en.wikipedia.org/wiki/Democratic_Party_of_Albanians
The Left,Far-left,Socialism Anti-capitalism Anti-neoliberalism Left-wing nationalism Euroscepticism,https://en.wikipedia.org/wiki/The_Left_(North_Macedonia)
Alternativa,Centre-right,Albanian minority interests,https://en.wikipedia.org/wiki/Alternativa_(North_Macedonia)
Liberal Democratic Party,Centre to centre-left,Social liberalism,https://en.wikipedia.org/wiki/Liberal_Democratic_Party_(North_Macedonia)
For a European Future,Centre-left,Pro-Europeanism,https://en.wikipedia.org/wiki/For_a_European_Future
VLEN Coalition,Centre-right Faction: Centre-left,Albanian minority interests,https://en.wikipedia.org/wiki/VLEN_Coalition
For Our Macedonia,Centre-left to left-wing,Macedonian nationalism Left-wing nationalism,https://en.wikipedia.org/wiki/For_Our_Macedonia
/w/index.php?title=Democratic Movement &action=edit&redlink=1,,,
European Front,Centre-left,Minority interests Pro-Europeanism,https://en.wikipedia.org/wiki/European_Front
Nikola Gruevski,,,
